station_nm,station_x,station_y
4128,127.053282,37.513011
4124,127.015259,37.504206
4121,126.987332,37.501364
4119,126.963708,37.50877
4116,126.928422,37.517274
4113,126.902809,37.533406
4110,126.874916,37.546936
4108,126.861939,37.557402
4106,126.841333,37.568381
4102,126.802152,37.561916
158,127.044585,37.579956
4612,127.083715,37.750471
420,127.001844,37.582336
4607,127.049565,37.743676
4604,127.043257,37.737202
419,127.006221,37.588458
4515,127.21364,37.267051
4511,127.198781,37.237247
4506,127.159443,37.260752
4502,127.126033,37.270161
414,127.025732,37.638052
1283,126.792783,37.815298
1278,126.767257,37.725826
1273,126.794461,37.658239
1268,126.868387,37.602888
1263,126.935711,37.551881
157,127.034893,37.578103
1508,127.44226,37.265579
1505,127.299,37.374419
1501,127.111217,37.394761
1849,127.041151,37.517469
1889,126.638297,37.460789
1405,127.052991,36.777629
331,127.016189,37.485013
1883,126.695216,37.407722
1846,126.999422,37.265917
1914,127.057277,37.913702
1910,127.056486,37.818486
1749,127.051672,37.195504
328,127.01122,37.512759
1869,127.057353,37.245795
1865,127.11591,37.275061
1220,127.629874,37.476393
326,127.028461,37.527072
1213,127.372921,37.525545
1209,127.222672,37.579622
1206,127.161153,37.608806
1203,127.091909,37.59955
324,127.015872,37.548034
322,127.005602,37.559052
4316,127.0801,37.313335
4312,127.108403,37.367098
320,126.992548,37.566672
4307,127.028104,37.496837
317,126.97353,37.575762
1327,127.71434,37.818466
1324,127.557695,37.832067
1321,127.42661,37.735488
1319,127.311767,37.652782
1316,127.207853,37.637382
1313,127.12684,37.64202
314,126.943736,37.589066
313,126.935756,37.600927
3226,126.752618,37.448769
3222,126.709986,37.456805
3220,126.692575,37.457611
3216,126.683673,37.484192
3213,126.676203,37.506193
3210,126.676787,37.543742
3207,126.675687,37.56866
3204,126.666998,37.597566
246,127.024932,37.574747
3137,126.634729,37.393054
3133,126.661673,37.387855
3130,126.687869,37.412333
3127,126.698579,37.434935
3124,126.702143,37.457263
3120,126.723453,37.490535
3118,126.720555,37.508407
3114,126.728128,37.543238
3110,126.73578,37.571449
154,127.001849,37.570926
237,126.902767,37.534946
233,126.894932,37.493243
232,126.901401,37.485266
2754,126.797337,37.50538
2824,127.156866,37.44521
430,126.974733,37.522295
4215,126.441442,37.460699
4213,126.452508,37.447464
4211,126.49379,37.492904
4210,126.624648,37.556409
429,126.967894,37.52917
4208,126.7363,37.571662
4207,126.801904,37.561842
4204,126.898609,37.576958
4202,126.952024,37.54253
4201,126.969769,37.553247
427,126.972106,37.54456
4713,127.023242,37.576095
4711,127.016516,37.592467
4710,127.013396,37.603133
4709,127.008251,37.612072
4708,127.013626,37.620238
4706,127.018106,37.626914
4705,127.017511,37.634133
4704,127.016789,37.641537
4702,127.013273,37.65603
4701,127.012706,37.662909
425,126.978246,37.558514
424,126.986325,37.560989
4129,127.060245,37.514219
4127,127.043999,37.510297
4126,127.033868,37.507287
4125,127.02506,37.504598
4123,127.004403,37.50598
4122,126.995925,37.503415
4120,126.978153,37.502878
423,126.99408,37.561207
4118,126.953222,37.512887
4117,126.941005,37.513534
4115,126.92403,37.52176
4114,126.917874,37.528105
4112,126.893525,37.53802
4111,126.88308,37.544277
422,127.007885,37.565133
4109,126.865689,37.550632
4107,126.854456,37.561391
4105,126.82731,37.566778
4104,126.816601,37.567532
4103,126.810678,37.563726
4101,126.798153,37.578608
421,127.009287,37.57093
4615,127.088704,37.733579
4614,127.087159,37.737279
4613,127.085035,37.742802
4611,127.076902,37.754025
4610,127.071495,37.75059
4609,127.06362,37.748885
4608,127.056947,37.745271
4606,127.037023,37.743302
4605,127.034781,37.739256
4603,127.04353,37.728755
4602,127.047073,37.725006
4601,127.052803,37.727048
418,127.016441,37.592612
4517,127.219561,37.285342
4514,127.218457,37.258965
4513,127.214251,37.24484
4512,127.209198,37.237845
417,127.025053,37.603407
4509,127.178406,37.239151
4505,127.152716,37.269043
4503,127.136515,37.269606
416,127.030053,37.613292
415,127.025983,37.62667
1293,126.926683,37.557641
1292,126.952099,37.542596
1948,126.872642,37.650658
1261,126.96221,37.538579
1280,126.774644,37.766217
1279,126.765347,37.751322
1276,126.761086,37.694023
1275,126.769846,37.682077
1271,126.820783,37.618808
1270,126.834146,37.612102
412,127.047274,37.653088
1266,126.900453,37.577475
1265,126.915487,37.568491
1252,126.942597,37.559733
1251,126.97103,37.557231
1511,127.628816,37.282308
1510,127.570938,37.295309
1507,127.40476,37.317185
410,127.073572,37.660878
1504,127.25263,37.399907
1502,127.127819,37.394655
1891,126.617326,37.476403
1848,127.040534,37.527381
332,127.033902,37.484477
1890,126.623853,37.46874
1407,127.003249,36.780483
1403,127.104361,36.792053
1402,127.1214,36.793759
1888,126.649619,37.448493
1886,126.657772,37.428514
1884,126.686648,37.413049
1881,126.722478,37.400614
1880,126.733522,37.40095
1879,126.742699,37.391769
1916,127.061034,37.9481
1915,127.05479,37.927878
1912,127.055716,37.892334
1911,127.061277,37.843188
1908,127.042292,37.75938
329,127.004916,37.504891
1878,126.745177,37.379681
1872,127.015678,37.265481
1870,127.040566,37.252759
1867,127.078934,37.259489
1866,127.108847,37.26181
1863,127.105664,37.298969
1862,127.107395,37.324753
1219,127.594647,37.48223
1218,127.547076,37.468672
1216,127.473868,37.506062
1214,127.399367,37.516169
1212,127.329098,37.545981
1210,127.243939,37.547371
1207,127.19364,37.60533
325,127.017269,37.541684
1204,127.107906,37.606596
1201,127.076116,37.594917
1750,126.884466,37.416182
156,127.024634,37.576048
323,127.010541,37.554867
4319,127.044483,37.30211
4317,127.069342,37.297664
4315,127.095026,37.322702
4314,127.102976,37.337928
4311,127.112217,37.394761
4310,127.055664,37.447211
4309,127.03842,37.470023
4308,127.034653,37.483809
319,126.991791,37.571605
318,126.985443,37.576477
316,126.957748,37.574571
1329,127.717023,37.885054
1328,127.723792,37.864007
1326,127.634146,37.805723
1325,127.58933,37.830779
1323,127.510739,37.814536
1322,127.454821,37.770246
1320,127.379319,37.684071
315,126.950291,37.582299
1318,127.285379,37.658978
1317,127.244493,37.653225
1315,127.176933,37.65108
1314,127.143952,37.648311
1312,127.114757,37.634118
1311,127.103218,37.612887
155,127.01093,37.571687
312,126.92982,37.610553
3227,126.75997,37.440127
3225,126.736939,37.448161
3224,126.732094,37.454911
3223,126.719298,37.45583
311,126.921038,37.619229
3221,126.701306,37.456833
3219,126.681192,37.458335
3218,126.679098,37.464992
3217,126.68113,37.473703
3215,126.675208,37.4897
3214,126.675795,37.500168
3212,126.676672,37.517054
310,126.918821,37.636763
3211,126.675539,37.524649
3209,126.677122,37.5517
3208,126.677566,37.561405
3206,126.675844,37.585212
3205,126.673203,37.592928
3203,126.657108,37.60185
3202,126.642696,37.59518
3201,126.627178,37.594877
3138,126.630347,37.399907
3136,126.639484,37.386007
3135,126.645168,37.378384
3134,126.656365,37.382268
3132,126.674005,37.397878
3131,126.681015,37.404737
245,127.046481,37.57004
3129,126.693863,37.41804
3128,126.698863,37.426684
3126,126.699706,37.442383
3125,126.701012,37.449396
3123,126.707938,37.467048
3122,126.710208,37.477679
3121,126.718247,37.485312
244,127.050899,37.561904
3119,126.722244,37.498383
3117,126.721514,37.517268
3116,126.722527,37.530415
3113,126.738665,37.545059
3111,126.742654,37.566379
242,126.956141,37.557345
241,126.946013,37.556733
240,126.936926,37.555131
239,126.923708,37.55679
236,126.89661,37.525706
235,126.89476,37.517933
2761,126.721599,37.507394
2760,126.73128,37.506997
2758,126.753083,37.505781
2757,126.763538,37.504631
2756,126.77596,37.503048
2753,126.810939,37.506207
2827,127.129837,37.433824
2825,127.147564,37.440918
231,126.913149,37.487462
2823,127.159816,37.451535
2821,127.126732,37.471052
2819,127.1225,37.485855
2817,127.112183,37.499703
2815,127.104338,37.514692
230,126.929715,37.484201
2812,127.123254,37.538113
2811,127.127562,37.55021
2750,126.854876,37.479252
2749,126.867911,37.47605
2746,126.897075,37.493013
229,126.941892,37.482362
2745,126.90993,37.50008
2742,126.93915,37.504898
2741,126.94791,37.502834
2738,126.981605,37.485196
2737,126.993513,37.487618
228,126.952739,37.481247
2734,127.021415,37.511093
2733,127.031656,37.514229
2730,127.066704,37.53154
2729,127.071011,37.540786
2726,127.08432,37.565923
227,126.963693,37.47693
2725,127.086727,37.573647
2722,127.085716,37.595577
2721,127.079264,37.602545
2718,127.072896,37.625742
2717,127.06799,37.636352
2715,127.060462,37.654836
2712,127.046509,37.689241
2711,127.053196,37.700109
2646,127.074735,37.617338
2645,127.065595,37.614872
2644,127.056431,37.610537
2643,127.048491,37.606377
2642,127.041518,37.601948
2639,127.019351,37.585274
2638,127.015241,37.579661
2637,127.015653,37.572279
2634,127.010358,37.554263
2632,127.001725,37.539631
2631,126.994302,37.534488
2628,126.961384,37.539233
2627,126.951678,37.543555
2626,126.942069,37.547771
223,127.014667,37.493961
2623,126.913366,37.549209
2621,126.903343,37.563515
2618,126.909645,37.583876
2617,126.913629,37.591148
2616,126.91727,37.611377
222,127.027912,37.49799
2613,126.92939,37.610873
2550,127.140004,37.537801
2549,127.132481,37.535804
2548,127.123308,37.53864
2546,127.089761,37.551691
2545,127.079577,37.557088
2544,127.064623,37.56144
2543,127.052704,37.566747
2541,127.037059,37.56184
2540,127.029476,37.557322
2538,127.013639,37.560276
2537,127.005353,37.564665
2535,126.990305,37.57254
219,127.06316,37.508844
2533,126.966641,37.565773
2532,126.9629,37.560236
2531,126.95682,37.553736
2529,126.945932,37.539574
2528,126.932901,37.527098
2526,126.914839,37.517623
2525,126.905139,37.522669
2524,126.89503,37.5242
2523,126.886129,37.525569
2521,126.864931,37.526065
2520,126.856191,37.524997
2519,126.846683,37.531768
2517,126.836318,37.548768
2516,126.837668,37.558598
217,127.086162,37.511687
2513,126.801292,37.562384
2512,126.806171,37.572399
1724,127.085159,36.990726
1728,127.146826,36.810005
1726,127.143904,36.870593
1725,127.126964,36.916076
216,127.100159,37.513262
1723,127.070444,37.0188
1031,127.126658,37.470345
1030,127.101422,37.487472
1721,127.054301,37.075696
1720,127.062278,37.109447
1718,127.063197,37.168953
215,127.10379,37.520733
1716,127.032731,37.207503
1023,127.048807,37.504856
1024,127.052873,37.496237
1026,127.058856,37.486839
1027,127.06614,37.489116
1861,127.108196,37.312752
1763,126.925365,37.349801
1762,126.738714,37.362357
1761,126.742989,37.351735
1760,126.765844,37.338212
1823,126.668672,37.46607
1714,126.889249,37.466613
1816,126.694181,37.464737
1815,126.74109,37.488418
213,127.085916,37.537077
1813,126.870793,37.496756
1957,126.761334,37.670072
1955,126.77762,37.652206
1954,126.78787,37.643114
1952,126.83265,37.634592
1951,126.843041,37.653324
212,127.069191,37.540373
1859,127.108942,37.339824
1857,127.10807,37.365994
1856,127.114322,37.378455
1854,127.128715,37.411185
1853,127.129104,37.432052
1851,127.126697,37.448605
1457,126.950806,37.389793
151,126.977088,37.565715
1455,126.976715,37.401553
1454,126.98978,37.426513
1452,127.006523,37.435675
1451,127.007888,37.443885
1907,127.044213,37.748577
1822,126.764843,37.486562
210,127.047367,37.547184
1759,126.788532,37.327082
1758,126.805913,37.320646
1756,126.838573,37.315941
1754,126.866489,37.302795
1751,126.933274,37.358101
1713,126.999561,37.266348
1711,126.97075,37.300349
1710,126.948217,37.320852
1707,126.935433,37.384653
1706,126.922874,37.401592
1703,126.89398,37.455626
1701,126.881966,37.503039
1812,126.616801,37.476079
1811,126.632802,37.475276
1808,126.702896,37.471408
1807,126.707704,37.483664
207,127.029354,37.564354
1804,126.782686,37.48405
1801,126.85968,37.494594
1905,127.04736,37.724416
1903,127.046049,37.689534
1901,127.044273,37.667503
1021,127.051269,37.644799
1019,127.061835,37.623632
1017,127.067325,37.601854
1014,127.0483,37.580759
1013,127.038352,37.561827
1011,127.018672,37.540446
1010,127.009169,37.52943
1008,126.973406,37.522427
1006,126.907628,37.515504
1004,126.94271,37.514149
204,126.997817,37.566595
1001,126.971134,37.554337
341,127.12454,37.495918
340,127.117757,37.492245
159,127.01648,37.573197
249,126.852912,37.520074
338,127.08439,37.483681
336,127.070594,37.496663
335,127.063642,37.494612
333,127.046769,37.486947
309,126.913917,37.648033
247,126.882768,37.514287
432,126.981989,37.486263
201,126.975411,37.563588
2611,126.915577,37.598605
2561,127.152781,37.49499
2558,127.127938,37.502057
2557,127.126133,37.508857
221,127.036456,37.500622
152,126.982923,37.570161
2553,127.154151,37.555004
2552,127.143999,37.55137
4508,127.168075,37.242115
4504,127.143714,37.274917
4501,127.116665,37.275449
1294,126.900453,37.577475
1291,126.97103,37.557231
1284,126.788047,37.854619
1282,126.792587,37.796188
413,127.034709,37.648627
1277,126.761356,37.712327
1274,126.786243,37.672346
1272,126.801762,37.645676
1269,126.843223,37.612314
1267,126.895611,37.580842
1264,126.926683,37.557641
1262,126.952099,37.542596
411,127.063276,37.65627
1509,127.490277,37.260192
1506,127.34674,37.351315
1503,127.20336,37.409522
1850,127.043677,37.510735
1847,127.044707,37.543617
1408,126.951108,36.769502
1401,127.135763,36.801215
1885,126.67894,37.417804
1882,126.708627,37.401637
330,127.013786,37.493025
1913,127.056482,37.901885
1909,127.044708,37.774381
1729,126.948345,37.344285
1871,127.030736,37.261911
1868,127.071394,37.251568
1864,127.111313,37.286102
327,127.020114,37.516334
1217,127.491837,37.492773
1215,127.443173,37.51382
1211,127.310115,37.554669
1208,127.208832,37.586781
1205,127.143869,37.603392
1202,127.08504,37.596678
321,126.994072,37.56143
4318,127.051478,37.288617
3115,126.722597,37.538157
3112,126.745077,37.553703
243,126.964378,37.559704
238,126.913808,37.549457
234,126.891084,37.508961
2759,126.742153,37.506411
2755,126.787036,37.503663
2826,127.140722,37.437428
153,126.991847,37.570406
2820,127.126191,37.478703
2816,127.106832,37.505557
2813,127.120508,37.530341
2751,126.838713,37.486637
2747,126.887249,37.486056
2744,126.920428,37.499872
2739,126.971251,37.484596
2736,127.005068,37.503367
2732,127.041255,37.517179
2727,127.079338,37.556897
2723,127.087503,37.588579
2720,127.077725,37.610637
2716,127.064303,37.644583
2713,127.055315,37.67785
2647,127.084689,37.620064
2641,127.036296,37.590508
2636,127.016146,37.566154
2633,127.007055,37.548013
2629,126.974032,37.535534
2620,126.899298,37.569532
2614,126.933031,37.618456
1755,126.85344,37.309689
1712,126.989627,37.283862
1708,126.943429,37.372221
1705,126.908706,37.419232
1810,126.656666,37.466769
1806,126.724506,37.489445
1803,126.811502,37.485178
1906,127.045958,37.738415
1022,127.047806,37.653007
1018,127.065934,37.614532
1012,127.034538,37.549946
1009,126.988537,37.519594
1005,126.926382,37.513342
203,126.991696,37.566306
434,126.989134,37.463873
337,127.079532,37.493514
248,126.865819,37.512398
431,126.980347,37.502852
2560,127.14415,37.493105
4217,126.524254,37.51202
4212,126.477516,37.459041
4209,126.674007,37.569098
4203,126.926715,37.557438
428,126.9726,37.534075
4712,127.019381,37.585286
426,126.972556,37.55281
4707,127.020473,37.621337
4703,127.013684,37.649502
4130,127.076275,37.511426
2822,127.149908,37.457122
2818,127.118398,37.492888
2814,127.112359,37.517409
2752,126.823023,37.492092
2748,126.882656,37.480338
2743,126.928276,37.499701
2740,126.953822,37.496029
2735,127.011727,37.508178
2731,127.05335,37.519365
2728,127.074658,37.548014
2724,127.088478,37.580894
2719,127.075397,37.618294
226,126.981544,37.476538
2714,127.057675,37.66494
2648,127.091401,37.617283
225,126.997596,37.481426
2640,127.029005,37.586272
2635,127.013986,37.560608
224,127.007917,37.491897
2630,126.986695,37.534675
2624,126.922852,37.547716
2622,126.910052,37.556094
2619,126.901391,37.576108
2615,126.920625,37.618636
2612,126.922744,37.606021
2551,127.142853,37.545477
2547,127.10357,37.545303
220,127.048203,37.504286
2542,127.042973,37.5661
2539,127.020331,37.554548
2536,126.998032,37.567352
2534,126.97717,37.571525
2530,126.951372,37.544431
2527,126.924357,37.521747
218,127.073704,37.511022
2522,126.875181,37.524496
2518,126.840461,37.541513
2515,126.825448,37.560183
2514,126.811973,37.561184
2511,126.812741,37.577446
1727,127.14896,36.833705
1032,126.917865,37.516862
1722,127.052819,37.056496
1719,127.06672,37.145885
1717,127.04318,37.187533
1715,127.013222,37.245025
1025,127.055186,37.491224
1028,127.07272,37.491373
214,127.094681,37.535095
1860,127.128248,37.395371
1817,126.642706,37.468446
1814,126.79544,37.482753
1958,126.747569,37.676087
1956,126.773359,37.659477
1953,126.811024,37.631626
1950,126.895558,37.653083
1858,127.10891,37.350077
1855,127.123592,37.385126
1852,127.127709,37.440019
211,127.055961,37.544581
1456,126.963883,37.394287
1453,126.996568,37.433021
1450,127.002303,37.451673
1821,126.824086,37.492433
1757,126.823144,37.316784
1753,126.903524,37.312212
209,127.043655,37.555273
1709,126.948462,37.35356
1704,126.902295,37.435047
208,127.036954,37.561238
1809,126.679742,37.465047
1805,126.753664,37.4876
1802,126.845365,37.494526
1904,127.047455,37.709914
206,127.019614,37.56564
1020,127.058831,37.633212
1016,127.063549,37.596073
205,127.009054,37.565613
1007,126.891144,37.508787
1003,126.964561,37.529849
342,127.128319,37.502129
250,127.038091,37.574028
339,127.101907,37.487378
202,126.982618,37.566014
409,127.079066,37.670272
433,126.981651,37.476955
150,126.972135,37.556228
2559,127.13482,37.498079
2555,127.136248,37.527788
2554,127.166417,37.556712
4510,127.190294,37.237964
2625,126.931993,37.547456
1752,126.917332,37.328467
1702,126.882581,37.481581
1902,127.045595,37.679563
1015,127.057583,37.58946
1002,126.9713,37.541021
334,127.055452,37.490922
2556,127.130923,37.516201
4131,127.088025,37.504738
4132,127.097033,37.502558
4133,127.10704,37.505208
4134,127.112216,37.510372
4135,127.116503,37.516404
4136,127.130288,37.516269
4137,127.137989,37.519683
4138,127.148739,37.529191
3753,126.81093,37.50613
2828,127.13977,37.4624
3754,126.79661,37.50502
3755,126.78828,37.50365
3756,126.77566,37.50282
3757,126.76364,37.50444
3758,126.753163,37.505814
3759,126.74179,37.50724
3760,126.73234,37.50681
405,127.2034,37.7205
3761,126.72077,37.50848
406,127.19281,37.705
408,127.11581,37.66778
4805,126.797252,37.468467
4806,126.793041,37.450145
4810,126.808573,37.369864
4811,126.809409,37.348847
4812,126.809904,37.334353
4813,126.808147,37.319619
4815,126.786691,37.302371
4807,126.786788,37.439066
4808,126.788017,37.409008
4814,126.796261,37.31321
4206,126.827378,37.565543
4313,127.108918,37.349982
4804,126.795023,37.483279
4809,126.805625,37.382223
1873,126.980248,37.24963
1875,126.90879,37.250102
1877,126.85685,37.28998
1458,126.943417,37.372209
1949,126.91397,37.648017
1285,126.746765,37.888421
1876,126.879483,37.264179
1874,126.963676,37.24304
1286,126.769999,37.879942
2562,127.17593,37.55749
2565,127.22345,37.53972
2566,127.20612,37.54205
3762,126.7035277,37.5086
3763,126.6762813,37.5062285
9995,127.17593,37.55749
9996,127.193877,37.560927
2649,127.102231,37.613174
4920,126.614309,37.642379
4921,126.628633,37.645384
4922,126.644344,37.640732
4923,126.669017,37.643986
4924,126.68393,37.653867
4925,126.705975,37.63165
4926,126.719731,37.620249
4927,126.732387,37.612488
4928,126.770345,37.601243
4929,126.801868,37.56236
2563,127.193877,37.560927
2564,127.203864,37.552034
3139,126.62597,37.407143
4401,126.929399,37.5170969
4402,126.9257265,37.5133059
4403,126.9227083,37.5060464
4404,126.9204355,37.5002739
4405,126.9180827,37.4955691
4406,126.9234964,37.4929598
4407,126.9275133,37.4902998
4408,126.9296159,37.4849266
4409,126.9330365,37.4782341
4410,126.9339351,37.4720019
4411,126.9450639,37.4691018
4306,127.02506,37.504598
1404,127.08485,36.78866
4304,127.020114,37.516334
4305,127.021415,37.511093